,Solvent,CHEM21,CHEM21 Numerical,Molecular Weight,Boiling Point,Melting Point,Density,Viscosity,Vapor Pressure,Refractive Index,LogP,Dipole Moment,Dielectric Constant,Alpha,Beta,Pi,Dispersion,Polarity,H Bonding,Molar Volume,Alternative Name,Functional Group,Grignard,Amide Coupling 1,Amide Coupling 2,Heck,Baylis-Hillman,Suzuki-Miyaura Pd,Suzuki-Miyaura Ni,Buchwald-Hartwig,Alkene Metathesis,SNAr,cost
314,Diethyl ether,Recommended,3,74.12,108,-108,0.8018,3.332,10.4,1.3955,0.76,1.64,17.7,0.79,0.84,0.4,15.1,5.7,15.9,92.44499875,t-Butanol,Alcohol,,,,,,,,,,,34 Ã‚Â£/L
315,i-Butanol,No Ranking,,74.12,82.3,25.7,0.7886,4.3839,40.7,1.3878,0.35,1.31,10.9,0.42,0.93,0.41,15.2,5.1,14.7,93.99239158,,Alcohol,,,,,,,,,,,60 Ã‚Â£/L
316,t-Butanol,Highly Hazardous,0,74.12,34.6,-116.3,0.7134,0.22,538,1.35555,0.89,1.15,4.3,0,0.47,0.27,14.5,2.9,5.1,103.9001962,Diethyl ether,No Group,81,,,,,,,,,,20 Ã‚Â£/L
313,chloroace-nitrile,,,74.99,126,-45.82431216,1.19,-0.999945168,244.3394057,1.4225,0.23,3.375314547,36.08225847,0,0.34,1.01,18.59261,14.1439662,4.888583942,64.93332306,,,,,,,,,,,,,
312,nitroethane,,,75.03,114,-90,1.05,-0.926929767,20.8,1.3917,0.2,3.65,28,-0.049937009,0.350100599,0.859001174,16,15.5,4.5,71.5,,,,,,,,,,,,,
310,carbondisulfide,#FFD700,,76,46.3,-110.8,1.266,0.36,300,1.624,1.84,0.612459651,3.208121978,0,0.07,0.61,20.5,0,0.6,60,,,,,,,,,,,,,
311,3-propanediol,#FF6347,,76,214.4,-26.7,1.04,40.01,0.044,1.439,-1.093,3.322234832,37.69879488,0.376990217,0.526258959,0.918445338,16.8,13.5,23.2,72.5,,,,,,,,,,,,,
309,"propane-1,2-diol",,,76.05,188.2,-59,1.04,0.581,173.2401073,1.4324,-0.92,3.63,40.68124946,-0.273553063,0.344285464,0.967209029,18.40627975,13.85305236,4.888583942,62.2288357,,,,,,,,,,,,,
308,2-Methoxyethanol,Hazardous,1,76.1,124.1,-85.1,0.9647,1.544,9.5,1.4024,-0.77,2.04,16.93,0.264705882,0.419019608,0.624716981,16.2,9.2,16.4,78.87944439,Methoxyethanol,No Group,,,,,,,,,,,40 Ã‚Â£/L
307,acetylchloride,,,77.99,51,-112,1.11,1.673563719,287,1.3898,-0.47,3.289652222,41.67166543,0.217109313,0.206187529,0.775180376,15.8,10.6,3.9,71,,,,,,,,,,,,,
