,Solvent,CHEM21,CHEM21 Numerical,Molecular Weight,Boiling Point,Melting Point,Density,Viscosity,Vapor Pressure,Refractive Index,LogP,Dipole Moment,Dielectric Constant,Alpha,Beta,Pi,Dispersion,Polarity,H Bonding,Molar Volume,Alternative Name,Functional Group,Grignard,Amide Coupling 1,Amide Coupling 2,Heck,Baylis-Hillman,Suzuki-Miyaura Pd,Suzuki-Miyaura Ni,Buchwald-Hartwig,Alkene Metathesis,SNAr,cost
115,1-octanol,,,130.14,194.5,-15.5,0.825,7.288,-37.07758769,1.4295,3,1.149156027,7.15181817,0.555810013,0.442190794,0.182073277,17,3.3,11.9,157.7,,,,,,,,,,,,,
116,2-octanol,,,130.14,178.5,-38.6,0.8185,5.844937936,0.242,1.4265,2.72,1.6,9.394446226,0.623994798,0.556826494,0.379552888,16.2,4.9,11,159.1,,,,,,,,,,,,,
113,"1,1,1-trichloroethane",,,131.93,114,-36,1.44,1.69,23,1.4711,2.35,1.003149101,6.55131228,0.228105107,0.235505785,0.506809207,17.64058573,1.487318756,5.111003609,102.6515383,,,,,,,,,,,,,
114,"1,1,2-trichloroethane",,,131.93,74,-30,1.34,0.86,124,1.4711,2.49,1.78,2.905855586,0,0,0.49,17,4.3,2,100.4,,,,,,,,,,,,,
109,2-ethoxyethylacetate,,,132.08,156,-62,0.98,1.32,2,1.4054,0.24,2.25,11.82306877,0.718047761,0.6147646,0.637706728,16,4.7,10.6,136.2,,,,,,,,,,,,,
110,propyleneglycolmonomethyletheracetate,,,132.08,146,-66,0.969,5.923372336,3.92,1.403431415,0.56,2.960261446,13.28548824,0.427319126,0.615059049,0.676073069,15.6,5.6,9.8,137.1,,,,,,,,,,,,,
111,"(2,2-dimethyl-1,3-dioxolan-4-yl)methanol",,,132.08,146,-66,0.969,3.832548342,3.92,1.479943698,0.56,4.256023031,26.01074727,-0.105006131,0.761687019,0.866830719,18.33479861,8.874005098,7.091678418,130.6303335,,,,,,,,,,,,,
112,1-methoxypropan-2-ylacetate,,,132.08,188.5,-26.4,1.06,5.176366949,-16.3911494,1.466606157,0.2026314,3.656157249,26.01074727,0.318824384,0.566529957,0.917802836,17.6013968,9.258065842,12.04010779,106.2683161,,,,,,,,,,,,,
108,"1,2,3,4-tetrahydronaphthalene",,,132.09,207.6,-35.8,0.9702,2.012,0.368,1.53919,3.78,1.245599322,8.240534883,0.199603697,0.40503759,0.465222455,19.6,2,2.9,136,,,,,,,,,,,,,
106,bu-xypropanol,,,132.12,171,-57.87007497,0.879,5.797629054,-5.425561841,1.400653719,1.15,2.116537077,12.76047149,0.798412407,0.62552038,0.600628684,15.3,4.5,9.2,132,,,,,,,,,,,,,
107,Propylene Glycol Monobutyl Ether,,,132.12,171,-57.87007497,0.879,5.797629054,-5.425561841,1.400653719,1.15,2.116537077,12.76047149,0.798412407,0.62552038,0.600628684,15.3,4.5,9.2,132,,,,,,,,,,,,,
105,p-cymene,#9ACD32,,134,177.1,-68.9,0.86,0.76,1.463,1.489,4.1,0.749363704,1.37905795,-0.073152442,0.319682457,0.465278587,18,3.5,2.7,156.3,,,,,,,,,,,,,
99,diethyleneglycoldimethylether,,,134.09,202.38485,-27.06056141,1.005,6.242592359,-79.32689507,1.45,0.171614452,3.564973125,26.01074727,0.35836327,0.728574734,0.86621269,16.5,10.6,17.7,131.8,,,,,,,,,,,,,
100,diethyleneglycolmethylether,,,134.09,199,-76,0.99,3.85,-79.32689507,1.4273,-0.15,3.111901497,20.12096386,0.321279589,0.661043163,0.847480126,16.2,7.8,12.7,118,,,,,,,,,,,,,
101,diethyleneglycolmonoethylether,,,134.09,199,-76,0.99,3.85,-79.32689507,1.4273,-0.15,3.564973125,31.07115318,0.316541735,0.691943121,0.847480126,16.2,9.2,12.3,130.9,,,,,,,,,,,,,
102,dipropyleneglycol,,,134.09,199,-76,0.99,3.85,-73.90768481,1.4273,-0.15,3.564973125,31.07115318,0.316541735,0.691943121,0.847480126,17.41506655,9.964542549,12.04010779,115.5637489,,,,,,,,,,,,,
103,bis(2-methoxyethyl) ether,,,134.09,162,-68,0.95,1.089,-70.4760923,1.4097,-0.36,2.921026039,23.99719197,0.427319126,0.624097373,0.782862549,15.8,6.1,9.2,142,,,,,,,,,,,,,
104,2-(2-ethoxyethoxy)ethanol,,,134.09,162,-68,0.95,1.089,-59.59275872,1.4097,-0.36,2.170318972,15.18443081,0,0.4,0.64,16.69847816,6.569392432,10.99388481,107.3712233,,,,,,,,,,,,,
97,"1,4-diethylbenzene",,,134.11,183.7,-42.83,0.862,3.6,24.95215318,1.4967,4.45,0,12.71925879,0.231011526,0.428564876,0.494113415,18,0,0.6,156.9,,,,,,,,,,,,,
98,butylbenzene,,,134.11,183.3,-87.9,0.8601,0.95,4.38558886,1.4898,4.38,0.859464543,7.07944843,0.097943009,0.315705243,0.271641978,17.06431548,1.185555472,1.364977312,118.9731648,,,,,,,,,,,,,
96,"N,N-dimethylbenzylamine",,,135.1,180,-75,0.9,6.678725802,-26.57543573,1.454831832,1.91,1.658256433,4.299272488,0,0.64,0.45,17.19167643,1.631477727,6.902315362,126.1939723,,,,,,,,,,,,,
95,trichlorofluoromethane,,,135.9,24,-111,4.74,0.0105,803,1.374,2.53,0.860244963,2.638342013,0.113596834,0.054248387,0.319044856,15.3,2,0,92.8,,,,,,,,,,,,,
94,1-bromobutane,,,135.99,101.3,-112,1.2686,0.606,41.97,1.4398,2.75,0.497309896,-1.534929323,0,0.13,0.5,17.32071196,0.049474911,-0.002993271,106.7367009,,,,,,,,,,,,,
93,R-limonene (+) (D),#FFD700,,136,176,-75,0.84,0.923,1.98,1.47,4.57,0.901806765,8.276063643,0.20397439,0.424645951,0.177934726,16.5,0.6,0,162.9,,,,,,,,,,,,,
92,methylbenzoate,,,136.05,199,-12,1.0855,7.400246337,0.38,1.5165,2.12,2.53,6.6,0.627848059,0.281845534,0.55335114,18.24456459,3.473174714,10.27650511,102.9458057,,,,,,,,,,,,,
91,3-phenylpropanol,,,136.09,235.5,-18,0.993,7.080464878,0.0234,1.526,1.88,3.391907214,27.94537662,0.53,0.55,0.95,18.10062889,9.016878962,10.11835076,126.606249,,,,,,,,,,,,,
88,dllimonene,,,136.13,178,-74,0.8405,6.403899266,1.98,1.474,4.2,1.382430969,10.65998021,0.258570805,0.432263049,0.172397715,17.2,1.8,4.3,162.9,,,,,,,,,,,,,
89,d-Limonene,,,136.13,178,-74,0.8405,6.403899266,1.98,1.474,4.2,1.382430969,10.65998021,0.258570805,0.432263049,0.172397715,17.2,1.8,4.3,162.9,,,,,,,,,,,,,
90,(4r)-1-methyl-4-prop-1-en-2-ylcyclohexene,,,136.13,178,-74,0.8405,4.651230825,1.98,1.474,4.2,1.382430969,7.873466558,0.258570805,0.462523652,0.209510372,16.93387043,2.631829451,8.121871665,127.1888683,,,,,,,,,,,,,
87,ethyleneglycolmonophenylether,,,138.07,237.5,14,1.1094,7.235946064,7,1.534,1.16,2.774430588,16.99518731,0.403926884,0.518873364,0.807901853,17.8,5.7,14.3,124.7,,,,,,,,,,,,,
86,isophorone,,,138.1,215,-8,0.92,2.62,-83.64495398,1.4775,1.67,3.034391096,10.27057954,0.081238984,0.473991379,0.675039355,16.6,8.2,7.4,150.5,,,,,,,,,,,,,
85,cis-decalin,,,138.14,190,-40,0.885,1.788,69.89622171,1.465971297,4.6,1.25546579,9.214783421,0,0.08,0.11,17.57035986,1.487318756,1.424616753,120.903589,,,,,,,,,,,,,
84,trimethylphosphate,,,140.02,197.2,-46,1.2,2.739915808,0.85,1.3967,-0.65,4.052429229,25.49172498,0,0.77,0.72,16.8,16,10.2,99.9,,,,,,,,,,,,,
83,2-chloroethylether,,,142,178,-50,1.22,2.0653,96.47577949,1.451,1.29,3.870254735,31.59675696,0.056730102,0.25336742,0.788935997,18.8,9,5.7,117.6,,,,,,,,,,,,,
82,1-methylnaphthalene,,,142.08,245,-22,1.0202,7.411773282,0.067,1.615,3.87,0.5,9.419691886,0.217151289,0.39102975,0.484026613,20.6,0.8,4.7,138.8,,,,,,,,,,,,,
80,"2,6-dimethyl-4-heptanone",,,142.14,188.4,-3.8,0.8217,11.06760844,0.552,1.4195,2.88,2.07974734,13.22546498,0.630213186,0.572736683,0.480079588,17.25005681,5.233832647,13.53468752,127.12611,,,,,,,,,,,,,
81,nonan-5-one,,,142.14,168,-42,0.81,3.291547323,1.65,1.413,2.56,1.635588335,14.07051066,0.426152445,0.448173238,0.207255734,16,3.7,4.1,177.1,,,,,,,,,,,,,
79,decane,,,142.17,174.2,-29.7,0.7,0.838,1.43,1.4102,5.98,0.853312774,5.064558163,0,0,0.03,17.08380137,2.017043426,1.893429525,126.0447257,,,,,,,,,,,,,
76,"Hexyl acetate, n-",#9ACD32,,144,169,-75,0.873,1,3.6,1.41,2.823,1.874026033,13.59841248,0.435625589,0.377356968,0.553033601,15.8,5.2,5.7,165.3,,,,,,,,,,,,,
77,Methyl amyl acetate,#9ACD32,,144,171.5,-80.9,0.88,1.05,1.32,1.409,2.87,0.972787154,7.478948706,0.254951099,0.388219076,0.266388025,15.8,2.9,5.9,166.1,,,,,,,,,,,,,
78,n-pentyl propionate,#9ACD32,,144,147.5,-64,0.86,0.98,28.802,1.409,2.7,1.113284805,12.55257089,0.229942557,0.480745851,0.389759155,15.2,3.1,6.8,167.4,,,,,,,,,,,,,
74,isobutylisobutyrate,,,144.12,239,16.5,0.91,5.74,0.00371,1.426,3.05,1.149156027,6.286327893,0.508601942,0.422582432,0.315672724,15.1,3.3,8.2,159,,,,,,,,,,,,,
75,octanoicacid,,,144.12,148.6,-81,0.855,2.957053758,4.33,1.399,1.771892504,1.477634587,11.56467834,0.338880838,0.453263124,0.185094708,15.1,2.8,5.8,169.8,,,,,,,,,,,,,
73,nonan-1-ol,,,144.15,214,-5,0.827,11.41033198,-37.07758769,1.433,3.77,1.7,8.193835812,0.659699209,0.531523141,0.219185934,17.24735059,3.418199743,11.32526245,127.1888683,,,,,,,,,,,,,
71,"1,2-dichlorobenzene",,,145.97,173,-24.8,1.288,1.044,2.15,1.5515,3.53,2.12155126,5.02,0,0.03,0.75,18.58676122,4.650711696,8.088854482,105.274743,,,,,,,,,,,,,
72,"1,3-dichlorobenzene",,,145.97,181.5,-17,1.3,1.324,1.36,1.479229345,3.38,2.886978397,22.24967925,0,0.03,0.8,19.2,6.3,3.3,112.8,,,,,,,,,,,,,
70,ethylene glycol diacetate,#9ACD32,,146,190,-41,1.13,1.49,0.077,1.4159,0.4,2.902237273,12.3908095,0.450160873,0.446490894,0.677828711,16.2,4.7,9.8,132.7,,,,,,,,,,,,,
69,2-acetyloxyethylacetate,,,146.06,190.5,-31,1.104,1.970838322,0.0774,1.415,0.24,3.898977653,27.5932114,0.442411514,0.511833743,0.906656905,17.46312725,10.48103954,12.04010779,115.2649279,,,,,,,,,,,,,
67,Propylene Glycol Monoethyl Ether Acetate,,,146.09,160,-89,0.98,4.880200646,-38.46370951,1.407239934,0.76,3.077945447,11.74192373,0.082639933,0.647846864,0.714682654,15.6,6.3,7.7,155.1,,,,,,,,,,,,,
68,ethyl3-ethoxypropanoate,,,146.09,168.5,-34.00209108,0.95,5.337753302,21.38668444,1.440828527,1.756824984,1.382430969,11.05481951,0.280643903,0.466442577,0.400256416,17.11279889,2.631829451,7.847860819,122.1088097,,,,,,,,,,,,,
65,Benzotrifluoride,,,146.11,185.5,-80,0.836,3.554957397,27.66246146,1.453,2.430277307,1.412098299,11.93845801,0,0.38,0.36,17.3914314,1.923719432,1.887106829,125.5097424,,,,,,,,,,,,,
66,di-n-butyl sulfide,No Ranking,,146.11,103.46,-29.05,1.1886,0.5524,38.83,1.41486,3.01,2.86,9.18,0.264705882,0.419019608,0.624716981,17.5,8.8,0,122.9261316,,No Group,,,,,,,,,,,71 Ã‚Â£/L
64,bromotrifluoromethane,,,147.91,-58,-168,5.14,0.157,233.9458815,1.238,1.86,0.860244963,2.638342013,0.113596834,0.062734628,0.319044856,9.6,2.5,0,97,,,,,,,,,,,,,
63,Dipropylene Glycol Methyl Ether,,,148.11,190,-80,0.95,5.797629054,-27.36602877,1.400653719,0.896730448,2.393796843,13.00025001,0.718047761,0.643206635,0.652305512,15.5,5.7,11.2,156.1,,,,,,,,,,,,,
62,Benzyl acetate,#FFD700,,150,213,-51.3,1.06,2.3,0.18,1.501,2,2.850076161,5,0.015916393,0.248078733,0.688595565,18.3,5.7,6,143.7,,,,,,,,,,,,,
61,ethyl benzoate,,,150.07,75.5,-34,1.0465,0.19282023,130.3962021,1.505,2.64,2.239468345,6.426923154,0,0.41,0.74,17.85765552,5.150935569,4.308010732,108.1278431,,,,,,,,,,,,,
60,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,,,150.09,285,2,1.1,47.8,-10.92385441,1.4531,-1.57,5.58,33.29102076,0.318824384,0.529898344,0.94965977,17.95506309,10.7026369,13.57601547,103.5638287,,,,,,,,,,,,,
59,1-phenoxy-2-propanol,,,152.08,241.2,11.4,1.0622,22.7,218,1.5232,1.5,2.112967846,13.88895002,0.740672646,0.257163884,0.609156068,17.4,5.3,11.5,143.2,,,,,,,,,,,,,
58,Carbon tetrachloride,Highly Hazardous,0,153.82,76.7,-22.2,1.594,0.91,115,1.4601,2.83,0,2.2,0,0.1,0.28,17.8,0,0.6,96.50125471,Carbontetrachloride,No Group,,,,,,,,,,,10000 Ã‚Â£/L
57,diethylsulfate,,,154.03,209.5,-25,1.2,1.79,23.38304876,1.40037,1.14,3.985767403,36.36746305,0.278336136,0.450102594,0.822750016,15.8,14.7,7.2,131.5,,,,,,,,,,,,,
56,bromobenzene,,,155.96,156.2,-30.7,1.5,1.072708405,69.40928004,1.5597,2.99,2.456703099,5.4,0,0.06,0.79,20.5,5.5,4.1,105.3,,,,,,,,,,,,,
55,1-decanol,,,158.17,230,7,0.8285,10.9,851,1.437,4.23,1.158136462,9.183813479,0.574362421,0.469555338,0.269921871,17.6,2.7,10,191.8,,,,,,,,,,,,,
54,1-acetyloxypropan-2-ylacetate,,,160.07,190,-31,1.058,-0.753036418,167.3577622,1.414,0.8,3.813186033,30.66804019,-0.098630935,0.333837462,0.907986294,18.28764394,12.21291436,1.581712266,107.5905973,,,,,,,,,,,,,
53,2-bu-xyethylacetate,,,160.11,192,-64,0.94,1.034325694,-83.99325222,1.42,1.51,2.85035054,12.09953686,0.126158808,0.435205352,0.665229683,15.3,7.5,6.8,171.2,,,,,,,,,,,,,
52,trimethyl-trimethylsilyloxysilane,,,162.09,99,-66,0.7638,1.485207493,43.57264452,1.3774,4.2,1.006933612,6.678915013,0.351401759,0.332648894,0.128878022,15.39341288,1.891091107,6.985822615,126.2769989,,,,,,,,,,,,,
49,diethyleneglycolbutylether,,,162.13,230,-68,0.954,0.0649,0.0219,1.4258,0.3,2.460040884,4.380023066,0.228282746,0.595487238,0.75317932,16,7,10.6,170.6,,,,,,,,,,,,,
50,Diethylene Glycol Monobutyl Ether,,,162.13,230,-68,0.954,0.0649,0.0219,1.4258,0.3,2.460040884,4.380023066,0.228282746,0.595487238,0.75317932,16,7,10.6,170.4,,,,,,,,,,,,,
51,1-ethoxy-2-(2-ethoxyethoxy)ethane,,,162.13,189,-44,0.91,2.917747332,0.52,1.4115,0.39,4.206520525,27.5932114,0.060402534,0.718176058,0.8265221,17.86730858,10.48103954,6.878671024,130.0916322,,,,,,,,,,,,,
48,tetrachloroethylene,,,163.88,121,-22,1.62,0.839,18.5,1.5053,3.4,0,2.5,0.089734893,0.189965286,0.758581583,19,6.5,2.9,101.1,,,,,,,,,,,,,
47,Hexafluoroisopropanol,No Ranking,,168.05,58.9,-3.9,1.596,1.58,158,1.275,1.91,2.05,16.7,1.96,0,0.65,17.2,4.5,14.7,105.2944862,,No Group,,,,,,,,,,,1000 Ã‚Â£/L
46,bis-2-chloroisopropylether,,,170.03,187,5,1.1,2.597880987,101.9430745,1.4505,2.36,3.526496703,24.71214624,0.056730102,0.184589761,0.807668561,19,8.2,5.1,146,,,,,,,,,,,,,
45,diphenyl ether,,,170.07,257,28,1.08,3.4909,0.0225,1.5805,4.21,1.527883644,5.255791857,0,0.13,0.66,18.60208191,2.093862155,5.55611039,102.4840959,,,,,,,,,,,,,
44,dodecane,,,170.2,216,-9.6,0.7495,4.693502224,0.135,1.4216,6.1,1.973796629,13.25123946,0,0,0.05,17.89291657,4.9367266,7.528123919,125.4469842,,,,,,,,,,,,,
43,dibromomethane,,,171.85,97,-52.7,2.5,0.98,21.20855412,1.542,1.88,1.884533182,6.7,0,0,0.92,18.30231842,5.21138597,6.585901101,96.95003818,,,,,,,,,,,,,
42,diethyl succinate,#FFD700,,174,217.7,-21,1.04,1.05,0.044,1.42,1.26,2.195785719,13.00894716,0.791781581,0.257211757,0.695360405,16.1,7.7,8.8,169.3,,,,,,,,,,,,,
41,dimethylhexanedioate,,,174.09,109.5,8,1.063,7.610546758,-18.84787029,1.4285,1.03,2.512527598,14.87016392,0.644525056,0.498637618,0.870680701,17.52349584,6.393122395,17.12424804,108.452345,,,,,,,,,,,,,
40,ethylcinnamate,,,176.08,147.0196689,3.925052245,1.0475,3.493818074,92.15772058,1.56,2.227446245,3.096221404,5.3,0.02131879,0.144305839,0.72725505,18.4,8.2,4.1,166.8,,,,,,,,,,,,,
39,butylbenzoate,,,178.1,250,-22,1,5.194793428,0.01,1.494,0.576156088,3.802951403,18.3072621,-0.025769522,0.640162634,0.848179974,18.3,5.6,5.5,178.1,,,,,,,,,,,,,
38,"1,2-bis(2-methoxyethoxy)ethane",,,178.12,216,-45,0.99,6.304634617,-31.36915371,1.413678043,-0.48,3.668922195,32.93885553,0.4819504,0.637246906,0.836334195,17.276797,11.57157699,12.04010779,115.5637489,,,,,,,,,,,,,
37,Hexamethylphosphoramide,Highly Hazardous,0,179.2,233,6.1,1.03,3.24,0.03,1.4572,0.28,4.19,29,0,1.05,0.87,18.5,8.6,11.3,173.9805825,HMPA,No Group,,,,,,,,,,,452 Ã‚Â£/L
36,triethylphosphate,,,182.07,215,-57,1.07,4.560656881,0.39,1.4053,0.8,3.796840107,13.2,0,0.77,0.72,16.8,11.5,9.2,171,,,,,,,,,,,,,
35,tributylamine,,,185.21,216.5,-70,0.78,0.73,0.0934,1.4299,1.52,1.177632228,2.172058011,0,0.62,0.16,16.82793602,0.38176353,4.022818925,131.7479361,,,,,,,,,,,,,
33,dipropyleneglycolbutylether,,,190.16,230,-54.00790999,0.91,4.916769174,0.1,1.44,1.5,2.012588007,9.305219838,0.674825277,0.485142483,0.619478761,15.7,6.5,10,211.2,,,,,,,,,,,,,
34,2-(2-hexoxyethoxy)ethanol,,,190.16,259.1,-33.3,0.935,8.6,21.38668444,1.447698954,1.7,1.495824422,13.84133317,0.290389564,0.428564876,0.396479671,17.11279889,2.919521827,7.243657371,124.7613953,,,,,,,,,,,,,
32,dimethylphthalate,,,194.06,284,5.5,1.19,17.2,0.00308,1.5168,1.795,2.8,32.04396507,0,0.78,0.82,18.6,10.8,4.9,163,,,,,,,,,,,,,
31,2-[2-[2-(2-hydroxyethoxy)ethoxy]ethoxy]ethanol,,,194.12,327.3,-9.4,1.12,61.9,101.9430745,1.4577,1.592109323,3.870254735,36.31789997,0.056730102,0.215489719,0.807668561,18.72783021,9.35197086,3.880175703,107.5683412,,,,,,,,,,,,,
30,benzylether,,,198.1,297.8,3.6,1.0425,8.719,46.60115166,1.5605,3.31,1.139302908,7.964196417,0.228944618,0.333921184,0.284755068,17.4,3.7,7.4,192.7,,,,,,,,,,,,,
29,"1,1,1,2,2-pentachloroethane",,,199.85,162,-29,1.68,2.49,3.5,1.5025,3.67,0.92,7.979650105,0.245291699,0.255741531,0.516100525,17.64058573,1.75515007,5.385014455,102.6515383,,,,,,,,,,,,,
28,1-tridecanol,,,200.21,274,31,0.8,7.857137227,0.000436,1.421614682,8.52,1.262085532,8.063705052,0.597145426,0.531523141,0.235306826,14.3,3.1,9,242,,,,,,,,,,,,,
27,iodobenzene,,,203.94,188.4,-31.3,1.808,0.939082131,1.06,1.62,3.25,3.476881673,31.92080363,0,0.06,0.81,18.42591349,9.084139546,2.942382184,108.2545832,,,,,,,,,,,,,
24,"2,2-bu-xyethoxyethylacetate",,,204.14,246,-32,0.985,5.220774605,-47.96409293,1.4262,2.9,1.149156027,5.103093776,0.508601942,0.422582432,0.330236628,16,4.1,8.2,208.2,,,,,,,,,,,,,
25,Butyl Diglycol Acetate,,,204.14,246,-32,0.985,5.220774605,-47.96409293,1.4262,2.9,1.149156027,5.103093776,0.508601942,0.422582432,0.330236628,16,4.1,8.2,208.2,,,,,,,,,,,,,
26,2-(2-bu-xyethoxy)ethylacetate,,,204.14,246,-32,0.985,4.384967475,21.38668444,1.4262,2.9,1.495824422,13.84133317,0.290389564,0.428564876,0.396479671,17.17078102,2.919521827,7.243657371,124.7613953,,,,,,,,,,,,,
23,2-[2-(2-bu-xyethoxy)ethoxy]ethanol,,,206.15,278,-35,0.98,7.933017133,0.0025,1.4389,0.02,1.331202374,3.925585494,0.428237296,0.691310778,0.396815415,16.69739195,0.479620739,11.22835644,114.3057803,,,,,,,,,,,,,
22,benzylbenzoate,,,212.08,324,21,1.117,8.292,224,1.56325,3.97,2.419772454,4.8,0.294333451,0.155456944,0.658296387,20,5.1,5.2,190.3,,,,,,,,,,,,,
21,Methyl laurate,#FFD700,,214,267,5.2,0.87,3,4,1.432,5.41,1.245599322,9.748208476,0.235926403,0.412654688,0.275927424,16.1,3.6,4.2,247.2,,,,,,,,,,,,,
20,"(3-hydroxy-2,2,4-trimethylpentyl)2-methylpropanoate",,,216.17,257.5,-50,0.95,4.338725139,21.38668444,1.442172896,3.47,1.495824422,13.84133317,0.290389564,0.428564876,0.396479671,17.11279889,2.919521827,7.243657371,124.7613953,,,,,,,,,,,,,
19,"1,3-diacetyloxypropan-2-ylacetate",,,218.08,258,3,1.1565,6.19234567,248,1.428,0.21,3.656157249,29.97737193,0.318824384,0.48962666,0.879887875,18.14139335,9.258065842,13.30200463,105.6043301,,,,,,,,,,,,,
18,diethylphthalate,,,222.09,295,-23,1.12,3.333732837,0.0021,1.5002,2.47,3.870254735,34.28590466,0.051327705,0.281384912,0.856700303,17.6,9.6,4.5,198,,,,,,,,,,,,,
17,dibutylsuccinate,#FFD700,,230,274.5,-29.2,0.98,4,0.016,1.43,2.9,2.534038168,10.07503585,0.708836407,0.473991379,0.675039355,16.1,7.7,8.8,238.3,,,,,,,,,,,,,
16,dimethyl-bis(trimethylsilyloxy)silane,,,236.11,66.83655137,-56.09270311,0.94,1.060826634,140.5072449,1.399,2.850644153,0.620294677,2.3,0.273494823,0.081131862,0.245406453,15.52827767,1.903820832,5.168036057,122.2496724,,,,,,,,,,,,,
15,bromoform,,,249.76,149.5,8.3,2.89,5.380196633,5.4,1.5948,2.38,1.317105065,4.5,0.223703586,0.273359294,0.545729323,21.5,4.1,6.1,87.5,,,,,,,,,,,,,
14,tributylphosphate,,,266.16,289,-80,0.98,3.39,0.00113,1.4224,4,2.786401703,8.91,0,0.8,0.65,16.4,6.3,4.3,345,,,,,,,,,,,,,
13,oleylalcohol,,,268.28,207,6.5,0.848,5.580615421,-42.49679795,1.458,1.674207802,1.292544383,7.65874921,0.253876684,0.531523141,0.233784718,14.3,2.7,8,316,,,,,,,,,,,,,
12,dibutylphthalate,,,278.15,340,-35,1.05,2.383319968,2.01E-05,1.49,4.72,3.439979437,6.4,0.015916393,0.24110099,0.776286792,17.8,8.6,4.1,266,,,,,,,,,,,,,
11,oleicacid,,,282.26,360,13.4,0.895,25.6,5.46E-07,1.46,7.73,1.44,9.246264647,0.300107705,0.450532389,0.305997161,14.3,3.1,5.5,320,,,,,,,,,,,,,
10,stearicacid,,,284.27,371,70.5,0.86,9.87,7.22E-07,1.613,8.23,1.382430969,9.570704122,0.300107705,0.450532389,0.291398377,16.4,3.3,5.5,326,,,,,,,,,,,,,
9,"2,2,4,4,6,6,8,8-octamethyl-1,3,5,7,2,4,6,8-tetraoxatetrasilocane",,,296.08,175,17.5,0.96,4.890076358,1.05,1.3968,6.74,2.497230221,16.35331025,0.501714599,0.413568642,0.669977263,16.05956813,5.378907081,13.74529841,130.1701661,,,,,,,,,,,,,
8,methyloleate,,,296.27,217,-19.9,0.8739,2.62,21.43476917,1.4522,7.45,1.531639265,15.8559378,0.309853366,0.428564876,0.381915767,14.5,3.9,3.7,340,,,,,,,,,,,,,
7,isopropylpalmitate,,,298.29,342,13.5,0.8404,6.960225782,5.59E-05,1.4364,2.196860092,1.531639265,13.40519962,0.329601803,0.448173238,0.22033241,14.3,3.9,3.7,330,,,,,,,,,,,,,
6,benzylbutylphthalate,,,312.14,370,-35,1.1,1.551713922,8.25E-06,1.5375,4.77,3.870254735,32.35127531,0.051327705,0.281384912,0.856700303,19,11.3,3.1,306,,,,,,,,,,,,,
5,dibutylsebacate,,,314.25,344.5,-10,0.938,5.902628265,27.7683997,1.4415,0.922387292,3.649499827,24.06747904,0.043825984,0.582789417,0.781054476,13.9,4.5,4.1,339,,,,,,,,,,,,,
4,tetradecafluorohexane,,,337.98,57.2,-86.1,1.6717,-0.370280971,218,1.2515,2.887526929,0.83340056,1.84148002,0,-0.08,-0.41,15.47580637,1.663582389,0.844207587,112.0457908,,,,,,,,,,,,,
3,butylstearate,,,340.33,343,27.5,0.86,5.44554682,21.43476917,1.4328,2.070921497,1.531639265,15.8559378,0.309853366,0.428564876,0.381915767,14.5,3.7,3.5,382,,,,,,,,,,,,,
2,tricresylphosphate,,,368.12,224,77.5,1.247,2.597880987,101.9430745,1.450799976,1.592109323,3.870254735,36.31789997,0.056730102,0.215489719,0.807668561,19,12.3,4.5,613,,,,,,,,,,,,,
1,"2,2,4,4,6,6,8,8,10,10-decamethyl-1,3,5,7,9,2,4,6,8,10-pentaoxapentasilecane",,,370.09,210,-38,0.9593,2.862270951,0.3,1.3982,8.06,1.349548392,9.141155891,0.296772634,0.363048359,0.298974611,15.68696708,2.99875235,5.807288722,122.1885943,,,,,,,,,,,,,
0,dinoctylphthalate,,,390.28,220,25,0.98,39,1.00E-07,1.485,8.1,2.84,15.64996023,0.092782801,0.383024377,0.68869879,16.6,7,3.1,277,,,,,,,,,,,,,
