,Molecular Weight,Boiling Point,Melting Point,Density,Viscosity,Vapor Pressure,Refractive Index,LogP,Dipole Moment,Dielectric Constant,Alpha,Beta,Pi,Dispersion,Polarity,H Bonding,Molar Volume
75,142.14,168.0,-42.0,0.81,3.291547322510553,1.65,1.413,2.56,1.635588335037202,14.070510657741574,0.4261524451153217,0.4481732379897762,0.20725573375111037,16.0,3.7,4.1,177.1
76,160.11,192.0,-64.0,0.94,1.034325693647609,-83.99325221629675,1.42,1.51,2.8503505403965335,12.099536858197657,0.1261588083300994,0.43520535246820646,0.6652296831907712,15.3,7.5,6.8,171.2
77,142.0,178.0,-50.0,1.22,2.0653,96.47577948924227,1.451,1.29,3.8702547354398984,31.59675696416218,0.05673010210387219,0.25336742012561125,0.7889359972995565,18.8,9.0,5.7,117.6
78,90.07,135.0,-70.0,0.93,5.370056864968436,5.31,1.406,-0.54,3.4423656328228094,35.07601165600347,0.39282098956189254,0.6815444441119715,0.8096890535727483,16.2,9.2,14.3,97.8
79,132.08,156.0,-62.0,0.98,1.32,2.0,1.4054,0.24,2.25,11.82306877442401,0.7180477605891304,0.6147646003931277,0.6377067279764771,16.0,4.7,10.6,136.2
80,96.02,162.0,-36.5,1.16,1.587,77.46927064670791,1.525,0.46,4.168996145343162,41.9,-0.04246256421632047,0.41444811354181055,0.9305620924912208,18.6,14.9,5.1,83.2
81,89.05,120.0,-91.0,0.99,0.721,17.2,1.3944,0.93,3.73,27.09315580152024,-0.08520463197179391,0.47690207902811926,0.9111623054286203,16.2,12.1,4.1,86.9
82,130.14,178.5,-38.6,0.8185,5.844937936495514,0.242,1.4265,2.72,1.6,9.394446226142408,0.6239947977318043,0.5568264942286657,0.37955288759619477,16.2,4.9,11.0,159.1
83,86.07,102.0,-78.0,0.81,2.0518248584771825,35.4,1.3895,0.91,2.72,15.706584430647677,0.0,0.52,0.65,16.0,7.6,4.7,107.3
84,102.1,134.0,-85.888402503719,0.82,3.707513576096325,-38.76855260477794,1.416,1.65,1.2443596445665863,7.002924967966345,0.5199125792488911,0.4421907941117748,0.18260128279313154,15.8,4.3,13.5,123.2
85,71.04,221.0,-46.0,1.04,8.367650451335908,56.578733485179164,1.4248,-0.94,3.3222348320353956,40.69058386662255,0.37699021704420294,0.497315625468778,0.876374533309507,17.2,18.8,17.6,68.3
86,86.0,101.9,-39.0,0.8,0.45,37.653,1.392,0.85,2.7,17.3,0.0,0.45,0.72,15.8,7.6,4.7,106.4
87,116.08,170.0,-47.0,0.94,4.5519661756828915,-74.25006985469751,1.4232,-0.445,3.24,20.913133133711593,0.41421853186974583,0.7053407009872539,0.8053100134004404,15.8,8.2,10.8,124.2
88,102.1,132.0,-90.0,0.81,3.707513576096325,-1.306846725918267,1.41,1.43,1.2443596445665863,7.002924967966345,0.5748347084203259,0.4421907941117748,0.19216963724598327,15.3,3.3,12.3,127.2
